7/10/2013 7:59:59 AM,Functional Test ECR 2028703
Date,Process,Error
7/10/2013 8:41:01 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 9:09:20 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 9:15:34 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 9:16:03 AM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/10/2013 9:16:51 AM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/10/2013 9:20:05 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 9:23:10 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 9:26:15 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 9:40:22 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 9:52:36 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 9:57:48 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
