29/06/2018 10:00:51,Functional Test ECR 2028703
Date,Process,Error
29/06/2018 10:18:22,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
29/06/2018 10:48:06,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
29/06/2018 11:10:07,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
29/06/2018 11:16:18,Jedi Status,Error Status: 27- Error Data: 815 Error Phase: 5 Error Class: 1
29/06/2018 11:16:20,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
29/06/2018 11:19:26,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
29/06/2018 11:35:49,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
29/06/2018 11:41:02,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
29/06/2018 11:51:16,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
